address,area,city,state,room_type,room_count,room_facilities,site_review_rating,site_review_count,Property_id,Property_name,Property_type
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,Gujarat,Royal Tent,21,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Sufficient Lighting|Western Toilet Seat,1,1,17,Property_17,Type_2
"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,Himachal Pradesh,Deluxe,10,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone,4.2,57,19,Property_19,Type_1
"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,West Bengal,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),14,Air Conditioning |Cable / Satellite / Pay TV available|Attached Bathroom,4.5,127,23,Property_23,Type_2
"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,Tamil Nadu,Triple bed room,2,Room Service |Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|HD / LCD Satellite TV |Mirror|Attached Bathroom,4.6,1,24,Property_24,Type_0
"Shuru, PO Prini, Manali",Village Prini,Manali,Himachal Pradesh,Deluxe Room,11,Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Daily Room Cleaning|Dustbins,4,1,25,Property_25,Type_1
"Road No. 2, Central Avenue,Kalyani Nagar",Kalyani Nagar,Pune,Maharashtra,1 Bedroom,19,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Kitchenette|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers|Reading Lamps| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Coffee Table|TV|Mirror|Attached Bathroom,4.6,41,30,Property_30,Type_0
"Village Simsa, Kanyal Road",Village Simsa,Manali,Himachal Pradesh,Luxury Room,10,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Heating Facility (on request) |Iron / Ironing board available|Kitchenette|Mini bar - On Charge |Shower Facility Available|Breakfast Available (surcharge)|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Sofa Cum Bed Available|Primium Bathrooms|Hill View from all Rooms|Coffee Table|Wardrobe|Private Garden|TV|Room Heater|Mirror|Luxurious Feather Mattresses|Gas Cylinder - Chargeable|Dressing Area|Attached Bathroom",2.9,6,31,Property_31,Type_1
"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar",Jp Nagar,Bangalore,Karnataka,Premium Room,47,"Room Service |Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Remote Controlled Lights and Fan|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Slippers|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Handheld Showers|Safe - In - Room |Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Snacks / Beverage|International Switch Plugs (on request)|Soundproof Windows|TV|Mirror|Mini Refrigerator|Utensils (on request)|Luggage Rack|Attached Bathroom",4,86,32,Property_32,Type_2
"Near New Bus Terminal, Main Road,Kalpetta, Wayanad",Kalpetta,Wayanad,Kerala,Premium Double Room with Breakfast,5,"Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Slippers|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Safe - In - Room |Separate Bathtubs And Shower|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|International Switch Plugs (on request)|Soft Bar|TV|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom",4.3,72,34,Property_34,Type_1
"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh",Others,Chandigarh,Punjab,Cottage Rooms,9,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water,1.6,1,35,Property_35,Type_2
"Naddi, Dal Lake, Mcleod Ganj",Village Naddi,Mcleodganj,Himachal Pradesh,Deluxe Room,29,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water,4.1,12,36,Property_36,Type_0
"Near La calypso casino, Saunta Waddo, Baga Beach",Baga Area,Goa,Goa,Standard A/C Room,6,Split A.C's,3.4,3,37,Property_37,Type_1
"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)",Village Pangot,Nainital,Uttarakhand,chalet,30,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Crockery / Cutlery|Hairdryer (on request)|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Shower Caps Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|Window Opens|Sofa Cum Bed Available|Primium Bathrooms|Shaving Kit /Dental Kit|Safe - In - Room |Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Bathrobes|Mirror|Luggage Rack|Attached Bathroom|Daily Room Cleaning|Do-Not-Disturb Notice|Modern Toilet Facilities|Western Toilet Seat,3.5,23,40,Property_40,Type_1
"No.7.Dharga Road, Pallavaram,","Airport Area, Pallavaram",Chennai,Tamil Nadu,Executive Room,20,Room Service |Air Conditioning |Basic Bathroom Amenities|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|Coffee Table|HD / LCD Satellite TV |Mirror|Attached Bathroom,3.6,119,44,Property_44,Type_2
"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli",Marathahalli,Bangalore,Karnataka,EXECUTIVE AC ROOM,22,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Internet Connection In Room|Newspapers| Hot / Cold Running Water|Housekeeping|Breakfast Available|HD / LCD Satellite TV |TV|Mirror|Luggage Rack|Attached Bathroom|Dustbins,4.3,3,45,Property_45,Type_0
"122 / 3, Near Bharma Temple",Brahma Temple Area,Pushkar,Rajasthan,NON Ac Room,14,Cable / Satellite / Pay TV available|Ensuite / Private Bathroom,4.1,2,46,Property_46,Type_1
"christain basti , opposite passport seva kendra, walford",G.S. Road,Guwahati,Assam,Awesome Stay double,16,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Refrigerator|Mineral Water|TV|Mirror|Complete Bedding|Curtains/Shades|Dustbins|Room Door Fitted with Lock and Key|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting,4,1,50,Property_50,Type_2
"No.7 Sriram Nagar, Polur Road",Athiyanthal Village,Tiruvannamalai,Tamil Nadu,Superior Double Room,18,"Room Service |Air Conditioning |Balcony / Terrace|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Newspapers|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Slippers|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Wardrobe|Split A.C's|TV|Mirror|Mini Refrigerator|Stationery Kit|Attached Bathroom|Closet|Daily Room Cleaning|Dustbins",4.5,35,51,Property_51,Type_0
Badrinath Road Tapovan Rishikesh,Tapovan,Rishikesh,Uttarakhand,Semi Deluxe AC Rooms,15,Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Hairdryer (on request)|Heating Facility (on request) |Telephone|Breakfast Available (surcharge)|Newspapers| Hot / Cold Running Water|Housekeeping|Toiletries|Makeup / Shaving Mirror|Hill View from all Rooms|HD / LCD Satellite TV |Soundproof Windows|TV|Attached Bathroom|Daily Room Cleaning|Ice Bucket on Demand|Modern Toilet Facilities|Phone Messaging Services|Room with Window/Ventilation|Rooms with Attached Bathrooms|Western Toilet Seat,3.1,24,54,Property_54,Type_0
"Behind sardar petrol pump, kampoo, lashkar gwalior",Lashkar,Gwalior,Madhya Pradesh,Cooler Room,12,Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Dustbins|Sufficient Lighting,2.7,12,55,Property_55,Type_1
"MI Road, Opp Om Towers, next to ICICI Bank ATM",M I Road,Jaipur,Rajasthan,AC Private Ensuite,41,Air Conditioning |Alarm Clock|Cable / Satellite / Pay TV available|Ceiling Fan|Crockery / Cutlery|Ensuite / Private Bathroom|Full Kitchen|Kitchenette|Microwave Oven Available |Refrigerator|Stove / Oven|Toaster|Washing machine|Breakfast Available (surcharge)|Reading Lamps| Hot / Cold Running Water|Makeup / Shaving Mirror|Safe - In - Room |Snacks / Beverage|Sandwich Maker|TV|Mirror|Luxurious Feather Mattresses|Mini Refrigerator|Utensils (on request)|Movies &amp; Games on demand|Dressing Area|Luggage Rack|Attached Bathroom,4.4,60,60,Property_60,Type_0
"A-23, Sector 51, Near Community Center, Noida",Sector 51,Noida,Uttar Pradesh,Standard Room,5,"Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Basic Bathroom Amenities|Crockery / Cutlery|Iron / Ironing board available|Kitchenette|Internet Connection In Room|Refrigerator|Telephone|Toaster|Newspapers|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Slippers|Safe - In - Room |Bidet|Coffee Table|Wardrobe|HD / LCD Satellite TV |Split A.C's|Snacks / Beverage|Soundproof Windows|Room Heater|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Mini Refrigerator|Utensils (on request)|Work Station|Dressing Area|Luggage Rack|Attached Bathroom|Closet|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Ice Bucket on Demand|In-room Storage Space|In-Room Safe|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat",1.3,2,61,Property_61,Type_1
"Udaipur Jhadol Road,  Near Nai Gaon, Udaipur",Lake Pichola Area,Udaipur,Rajasthan,Executive Garden Room,17,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Shower Caps Available|Shoe Shine|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Wardrobe|HD / LCD Satellite TV |Mirror|Dressing Area|Luggage Rack",4.2,145,65,Property_65,Type_2
"Ayur County Mountain Resorts, Chinnakanal P.O, Munnar",Chinnakanal,Munnar,Kerala,Valley Room (Deluxe),8,"Room Service |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone|Newspapers|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Coffee Table|HD / LCD Satellite TV |TV|Channel Music|Mirror|Dressing Area|Attached Bathroom",3.7,69,69,Property_69,Type_0
"Anjuna German Bakery Road , next to German bakery and curlies shack,Anjuna, Goa",Anjuna Area,Goa,Goa,Deluxe,10,Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Crockery / Cutlery|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Wardrobe|HD / LCD Satellite TV |Split A.C's|TV|Mirror|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Ice Bucket on Demand|In-room Storage Space|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat,4,2,70,Property_70,Type_1
"Mandarmani, East Medinipur",Purba Medinipur,Mandarmani,West Bengal,AC Double Bed Room,22,Room Service |Basic Bathroom Amenities|Attached Bathroom,3.5,3,72,Property_72,Type_0
"N.H.Road, Central Munnar",Main Town,Munnar,Kerala,Deluxe Room,30,Room Service |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Breakfast Available (surcharge)|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|TV|Mirror|Dressing Area|Luggage Rack|Attached Bathroom,4.2,80,74,Property_74,Type_2
"Bagmane Estate, Mallandor P.O 15",Mallandur,Chikmagalur,Karnataka,Home stay Deluxe Room,3,"Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Internet Connection In Room|Newspapers|Reading Lamps| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Attached Bathroom",0,0,75,Property_75,Type_0
"No.4, E-Road, (Near Omni Bus Stand) Koyambedu",Koyambedu,Chennai,Tamil Nadu,Deluxe,11,Room Service |Air Conditioning |Alarm Clock|Breakfast Available,3.4,50,83,Property_83,Type_2
"31/1, South Tukoganj  Indore",Tukoganj,Indore,Madhya Pradesh,Standard Room,50,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Clothes Dryer|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone| Hot / Cold Running Water|Housekeeping|Breakfast Available|Makeup / Shaving Mirror|Climate Control|Safe - In - Room |Safe (on request)|Coffee Table|HD / LCD Satellite TV |Centrally Heated|International Switch Plugs (on request)|Soft Bar|TV|Mirror,4.5,417,86,Property_86,Type_2
"Ranthambore Road, Sawai Madhopur,",Ranthambhore,Sawai Madhopur,Rajasthan,Deluxe room,42,Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker| Hot / Cold Running Water|Safe - In - Room,4.5,76,88,Property_88,Type_1
"ASHTAMI RESORT,Meenangadi MEPPRIKUNU",Kalpetta,Wayanad,Kerala,Cottage Room,4,Room Service |Ceiling Fan| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror|Attached Bathroom,4,1,89,Property_89,Type_2
"Plot no. 15, 24, 25 and 26, Survey no. 64, Sector-1, Huda Techno enclave, Madhapur, Hyderabad - 500081",Hi-Tech City,Hyderabad,Andhra Pradesh,Avasa Silver,110,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Mini bar - On Charge |Internet Connection In Room|Telephone|Safe - In - Room,4.5,124,93,Property_93,Type_0
"D-160,Kabir Marg,Bani Park,Near Collectreat Circle",Bani Park,Jaipur,Rajasthan,Deluxe Room,23,Basic Bathroom Amenities|Hairdryer (on request)|Iron / Ironing board available|Telephone| Hot / Cold Running Water|HD / LCD Satellite TV |Mirror|Attached Bathroom,3.9,7,95,Property_95,Type_2
Calangute Candolim Beach Road Goa 403516 Near Plaintain Leaf Restaurant,Calangute Area,Goa,Goa,1 BEDROOM WITH HALL,1,Room Service |Air Conditioning |Balcony / Terrace|Cable / Satellite / Pay TV available|Ceiling Fan|Tea Coffee Kettle / Maker|Full Kitchen|Microwave Oven Available |Refrigerator|Washing machine|Mineral Water|Housekeeping|Sofa Cum Bed Available|Wardrobe|Split A.C's|TV|Mirror|Induction Plate,3.5,2,96,Property_96,Type_0
"Small vagator,orzan road,opp foot ball ground,bardez,goa",Vagator Area,Goa,Goa,Deluxe Room,12,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Refrigerator|Breakfast Available (surcharge)|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Bidet|Coffee Table|Wardrobe|TV|Mini Refrigerator|Attached Bathroom|Closet|Bedside Table|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat",4.8,2,98,Property_98,Type_2
"C-68, Block-C, South City, Part-I, Near Huda City Metro Station, Sector 41, Gurgaon",Sector 41,Gurgaon,Haryana,Deluxe Room,17,Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Blackout Drapes|Wardrobe|TV|Mirror|Mini Refrigerator|Attached Bathroom,3.8,33,99,Property_99,Type_0
"No.65-66,1st floor, Sadguru complex,Opp.IIMB,Bilekahalli,Bannerghatta Main Road",Bannerghatta Road,Bangalore,Karnataka,Standard Non AC Room,20,"Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Crockery / Cutlery|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Internet Connection In Room|Refrigerator|Shared Bathroom|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Primium Bathrooms|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Blackout Drapes|Coffee Table|Wardrobe|HD / LCD Satellite TV |Split A.C's|Pillow menu|Snacks / Beverage|International Switch Plugs (on request)|TV|Channel Music|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Utensils (on request)|Gas Cylinder - Chargeable|Local Calls Free|Movies &amp; Games on demand|Stationery Kit|Dressing Area|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|In-room Storage Space|Modern Toilet Facilities|Phone Messaging Services|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",4.3,44,102,Property_102,Type_0
"Villa 149, Omaxe Panorama City, 7-8 Km milestone on Alwar Bypass Road,",Aalwar Bypass Road,Bhiwadi,Rajasthan,Deluxe Double Room,10,"Room Service |Air Conditioning |Ceiling Fan|Clothes Dryer|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Microwave Oven Available |Internet Connection In Room|Refrigerator|Toaster|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Coffee Table|HD / LCD Satellite TV |International Switch Plugs (on request)|Attached Bathroom",4.8,21,103,Property_103,Type_1
"Casa Grande I Bldg, 4th Floor Flat No.401, Koregaon Park, Pune",Koregaon Park,Pune,Maharashtra,Deluxe AC Room,130,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Crockery / Cutlery|Iron / Ironing board available|Tea Coffee Kettle / Maker|Full Kitchen|Kitchenette|Microwave Oven Available |Internet Connection In Room|Refrigerator|Telephone|Washing machine|Shower Facility Available|Newspapers|Reading Lamps| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Blackout Drapes|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Channel Music|Studio Apartment - Large|Mirror|Luxurious Feather Mattresses|Utensils (on request)|Gas Cylinder - Chargeable|Work Station|Dressing Area|Luggage Rack|Attached Bathroom|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms",5,1,106,Property_106,Type_1
"Plot No-2,sec-43,Golf Course Road,Gurgaon",Golf Course Road,Gurgaon,Haryana,Deluxe Room,8,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Breakfast Available,3.7,8,109,Property_109,Type_1
"#1, Venkitauram, 73-A, Sardar Patel Road, (Near Lemon Tree Hotel) Opp. Raj Bhavan Staff Quarters Gate, Guindy,  Chennai",Guindy,Chennai,Tamil Nadu,Standard,18,Air Conditioning,3.6,29,111,Property_111,Type_0
"Chokhi Dhani Palace Hotel, Barmer Road, Jaisalmer 345001",Barmer Road,Jaisalmer,Rajasthan,Royal Room,43,Air Conditioning |Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone| Hot / Cold Running Water|Safe - In - Room |HD / LCD Satellite TV,3.9,24,114,Property_114,Type_0
